Freq.	V(vout)
1.00000000000000e+001	(1.99994882379995e+001dB,1.79736816351889e+002°)
1.07177346253629e+001	(1.99994746303767e+001dB,1.79717927044593e+002°)
1.14869835499703e+001	(1.99994589993754e+001dB,1.79697682054357e+002°)
1.23114441334492e+001	(1.99994410441394e+001dB,1.79675984094852e+002°)
1.31950791077289e+001	(1.99994204190809e+001dB,1.79652728900807e+002°)
1.41421356237309e+001	(1.99993967272311e+001dB,1.79627804727946e+002°)
1.51571656651040e+001	(1.99993695126016e+001dB,1.79601091817230e+002°)
1.62450479271247e+001	(1.99993382514120e+001dB,1.79572461820883e+002°)
1.74110112659225e+001	(1.99993023420127e+001dB,1.79541777187515e+002°)
1.86606598307361e+001	(1.99992610933111e+001dB,1.79508890503478e+002°)
2.00000000000000e+001	(1.99992137114789e+001dB,1.79473643787391e+002°)
2.14354692507259e+001	(1.99991592846842e+001dB,1.79435867734585e+002°)
2.29739670999407e+001	(1.99990967655565e+001dB,1.79395380907991e+002°)
2.46228882668983e+001	(1.99990249510479e+001dB,1.79351988871783e+002°)
2.63901582154579e+001	(1.99989424593056e+001dB,1.79305483263876e+002°)
2.82842712474619e+001	(1.99988477031106e+001dB,1.79255640803100e+002°)
3.03143313302079e+001	(1.99987388593766e+001dB,1.79202222226675e+002°)
3.24900958542494e+001	(1.99986138341249e+001dB,1.79144971153330e+002°)
3.48220225318449e+001	(1.99984702222656e+001dB,1.79083612867176e+002°)
3.73213196614723e+001	(1.99983052614197e+001dB,1.79017853017183e+002°)
4.00000000000000e+001	(1.99981157788997e+001dB,1.78947376226870e+002°)
4.28709385014517e+001	(1.99978981308428e+001dB,1.78871844608591e+002°)
4.59479341998814e+001	(1.99976481323383e+001dB,1.78790896176567e+002°)
4.92457765337966e+001	(1.99973609772265e+001dB,1.78704143152646e+002°)
5.27803164309157e+001	(1.99970311460520e+001dB,1.78611170158616e+002°)
5.65685424949238e+001	(1.99966523004358e+001dB,1.78511532288797e+002°)
6.06286626604159e+001	(1.99962171618804e+001dB,1.78404753056633e+002°)
6.49801917084988e+001	(1.99957173727373e+001dB,1.78290322209071e+002°)
6.96440450636899e+001	(1.99951433367434e+001dB,1.78167693402709e+002°)
7.46426393229445e+001	(1.99944840361656e+001dB,1.78036281736080e+002°)
7.99999999999999e+001	(1.99937268221762e+001dB,1.77895461132982e+002°)
8.57418770029034e+001	(1.99928571746142e+001dB,1.77744561572601e+002°)
9.18958683997627e+001	(1.99918584267539e+001dB,1.77582866163332e+002°)
9.84915530675932e+001	(1.99907114501130e+001dB,1.77409608058759e+002°)
1.05560632861831e+002	(1.99893942936600e+001dB,1.77223967216319e+002°)
1.13137084989847e+002	(1.99878817710448e+001dB,1.77025067001875e+002°)
1.21257325320832e+002	(1.99861449886497e+001dB,1.76811970646891e+002°)
1.29960383416998e+002	(1.99841508063549e+001dB,1.76583677569324e+002°)
1.39288090127380e+002	(1.99818612219242e+001dB,1.76339119574915e+002°)
1.49285278645889e+002	(1.99792326688465e+001dB,1.76077156962555e+002°)
1.60000000000000e+002	(1.99762152163308e+001dB,1.75796574566119e+002°)
1.71483754005807e+002	(1.99727516589525e+001dB,1.75496077775866e+002°)
1.83791736799525e+002	(1.99687764822253e+001dB,1.75174288595765e+002°)
1.96983106135186e+002	(1.99642146891452e+001dB,1.74829741809218e+002°)
2.11121265723663e+002	(1.99589804716020e+001dB,1.74460881345244e+002°)
2.26274169979695e+002	(1.99529757095283e+001dB,1.74066056960815e+002°)
2.42514650641663e+002	(1.99460882798888e+001dB,1.73643521383296e+002°)
2.59920766833995e+002	(1.99381901572347e+001dB,1.73191428090553e+002°)
2.78576180254759e+002	(1.99291352877529e+001dB,1.72707829945799e+002°)
2.98570557291778e+002	(1.99187572197766e+001dB,1.72190678950307e+002°)
3.20000000000000e+002	(1.99068664759109e+001dB,1.71637827430057e+002°)
3.42967508011613e+002	(1.98932476556570e+001dB,1.71047031032366e+002°)
3.67583473599051e+002	(1.98776562631803e+001dB,1.70415953975180e+002°)
3.93966212270373e+002	(1.98598152632429e+001dB,1.69742177063919e+002°)
